n,scenario,requested_ratio,generated_permutations,prefix_tests,rejected_prefixes,comparisons,local_assignments,vector_assignments,elapsed_seconds,internal_overhead_ratio,actual_ratio,comparisons_normalized,overhead_comparisons_pct,local_assignments_normalized,overhead_local_assignments_pct,vector_assignments_normalized,overhead_vector_assignments_pct,elapsed_seconds_normalized,overhead_elapsed_seconds_pct,accepted_percent,identity_ratio
8,X_n8_ratio_0.3750,0.375,15120,41105,5,554147,352884,160150,0.0893974159844219,2.7185846560846563,0.375,0.37503003166606547,0.0030031666065466,0.37502391164805454,0.0023911648054542,0.37502341701011616,0.0023417010116155,0.3753653403898599,-0.1317837780359154,37.5,0.375
8,X_n8_ratio_0.5000,0.5,20160,54804,4,738839,470500,213528,0.1190995000069961,2.718452380952381,0.5,0.5000240253328524,0.0024025332852395,0.5000191293184436,0.0019129318443611,0.5000187336080929,0.0018733608092902,0.5000796037346147,-0.2162806477004231,50.0,0.5
8,X_n8_ratio_0.6250,0.625,25200,68503,3,923531,588116,266906,0.1489502920012455,2.718373015873016,0.625,0.6250180189996393,0.0018018999639268,0.6250143469888327,0.0014346988832736,0.6250140502060697,0.0014050206069704,0.6254182678832616,-0.2386174249472628,62.5,0.625
8,X_n8_ratio_0.7500,0.75,30240,82202,2,1108223,705732,320284,0.1794405419786926,2.718320105820106,0.75,0.7500120126664261,0.0012012666426142,0.7500095646592219,0.0009564659221861,0.7500093668040465,0.0009366804046506,0.7534419130337067,0.0063399239040751,75.0,0.75
8,X_n8_ratio_0.8750,0.875,35280,95901,1,1292915,823348,373662,0.2082746250089258,2.71828231292517,0.875,0.8750060063332131,0.0006006333213126,0.8750047823296109,0.0004782329610875,0.8750046834020232,0.0004683402023197,0.8745115801184801,-0.4409822959733356,87.5,0.875
8,X_n8_ratio_1.0000,1.0,40320,109600,0,1477607,940964,427040,0.2381610829907003,2.7182539682539684,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.4484106519986763,100.0,1.0
9,X_n9_ratio_0.1111,0.1111111111111111,40320,109609,8,1477690,941009,427061,0.2457438340061344,2.7184771825396825,0.1111111111111111,0.11111639154201298,0.000528043090188,0.1111153095476422,0.0004198436531099,0.11111527408638955,0.0004162975278443,0.11500352665163092,0.3187861459766267,11.11111111111111,0.1111111111111111
9,X_n9_ratio_0.2222,0.2222222222222222,80640,219209,7,2955301,1881978,854104,0.4764832090004347,2.718365575396825,0.2222222222222222,0.22222684259926137,0.000462037703916,0.22222589585418692,0.0003673631964712,0.22222586482559084,0.000364260336863,0.22298524659612923,-0.0603065606212011,22.22222222222222,0.2222222222222222
9,X_n9_ratio_0.3333,0.3333333333333333,120960,328809,6,4432912,2822947,1281147,0.7162489169859327,2.718328373015873,0.3333333333333333,0.3333372936565097,0.0003960323176399,0.33333648216073164,0.0003148827398324,0.33333645556479213,0.0003122231458818,0.3351911218726135,-0.0195716075957308,33.33333333333333,0.3333333333333333
9,X_n9_ratio_0.4444,0.4444444444444444,161280,438409,5,5910523,3763916,1708190,0.9503103749884758,2.718309771825397,0.4444444444444444,0.44444774471375814,0.0003300269313721,0.4444470684672764,0.0002624022831965,0.44444704630399345,0.0002601859549034,0.4447275146467375,-0.244149481228173,44.44444444444444,0.4444444444444444
9,X_n9_ratio_0.5556,0.5555555555555556,201600,548009,4,7388134,4704885,2135233,1.1895980830013286,2.718298611111111,0.5555555555555556,0.5555581957710065,0.0002640215450933,0.5555576547738211,0.0002099218265549,0.5555576370431947,0.0002081487639138,0.5567096948595556,-0.2256469907111591,55.55555555555556,0.5555555555555556
9,X_n9_ratio_0.6667,0.6666666666666666,241920,657609,3,8865745,5645854,2562276,1.4300472080067266,2.7182911706349207,0.6666666666666666,0.6666686468282549,0.0001980161588255,0.6666682410803658,0.000157441369919,0.6666682277823961,0.0001561115729464,0.6692353965429978,-0.1531253344595695,66.66666666666666,0.6666666666666666
